domain,eta_real,eta_null_mean,eta_percentile,eta_p_value
GOES,0.5363511236682422,0.5393792961614106,0.03,0.97
Kp,0.9159489019059452,0.7730712233953568,1.0,0.0
LIGO,0.5499490632437972,0.5487323545247894,1.0,0.0
