domain,samples,deltaE_mean,eta_mean,hazard_mean,min_survival,real_delta_e_mean,null_delta_e_mean_avg,real_eta_mean,null_eta_mean_avg,real_eta_min,null_eta_min_avg,real_vs_null_eta_mean_gap,real_vs_null_delta_e_gap
GOES,,,,,,1.7676660730013285,1.0412605864745337,0.5363511236682422,0.5393700311778745,0.0,1.303378769785744e-99,-0.0030189075096322,0.7264054865267948
GOES Solar X-ray,10078.0,1.7676660730013285,0.5363511236682422,0.4387985591544937,0.2006095728019758,,,,,,,,
Kp,,,,,,0.1426825363838374,0.1537324716476305,0.9159489019059452,0.7737511120764975,8.514534698418957e-53,0.003294514275323,0.1421977898294477,-0.0110499352637931
LIGO,,,,,,0.4869282255893289,0.5178196721280522,0.5499490632437972,0.5486986533810329,2.368040061464072e-30,2.4647075886295417e-30,0.0012504098627643,-0.0308914465387233
Planetary K-index,358.0,0.1426825363838374,0.9159489019059452,0.1309404651312488,0.30422320859406,,,,,,,,
