domain,eta_real,eta_null_mean,eta_percentile,eta_p_value
GOES,0.5363511236682422,0.5439478578993565,0.0,1.0
Kp,0.9159489019059452,0.8199051170489517,1.0,0.0
LIGO,0.5499490632437972,0.5494607645833454,0.82,0.18
