delta_e_mean,delta_e_max,eta_mean,eta_min,signal_std,surrogate_id
1.042946776415987,20.579994067427705,0.5377140893422951,8.283587447995487e-107,3.2828001594562433e-07,1
1.0565416557120622,21.993419095200007,0.5393684038532438,3.5653829195838914e-114,3.2828001594562433e-07,2
1.0256718392340107,21.99387160263469,0.5366271259986155,3.5460750414335756e-114,3.282800159456243e-07,3
1.0377768699044823,21.109538596679084,0.5414688232875394,1.4403872142156082e-109,3.282800159456243e-07,4
1.0430796090727614,22.244026099700992,0.5375623341517087,1.7622166871488445e-115,3.2828001594562433e-07,5
1.0281491862160803,20.05997809695112,0.53856476119955,4.249122571968239e-104,3.282800159456243e-07,6
1.0792630870354032,20.243661691591697,0.5370337576991863,4.688414498465781e-105,3.282800159456243e-07,7
1.03563383610342,23.780530441792944,0.5414202355371257,1.7318689386510192e-123,3.282800159456243e-07,8
1.0422091666688311,21.9850859070989,0.5383626898334262,3.9403506473311354e-114,3.282800159456243e-07,9
1.0547525381501797,22.8191240298192,0.5414058843844505,1.773850514120764e-118,3.2828001594562433e-07,10
1.0460544934229112,23.620715619259077,0.5391264804036844,1.1786785218232464e-122,3.282800159456243e-07,11
1.0525366570105101,20.699464891853395,0.540164330523734,1.9751142565986484e-107,3.282800159456243e-07,12
1.0492604166069466,20.766601678492453,0.5379847756865346,8.824834961936363e-108,3.282800159456243e-07,13
1.0211904636409066,18.819639113265293,0.5408616538552112,1.2369945174160638e-97,3.282800159456243e-07,14
1.0449033959133551,22.136228001411776,0.5395055488336268,6.424698331439902e-115,3.282800159456243e-07,15
1.0374006023830071,22.3011970527522,0.5418252413203193,8.873826970455056e-116,3.282800159456243e-07,16
1.0365523883034753,21.766475314038455,0.5402187588457338,5.430394264457484e-113,3.282800159456243e-07,17
1.0396543810093806,22.631020423713938,0.5423831252506971,1.695217066959594e-117,3.282800159456243e-07,18
1.0397883441417697,20.574470655244074,0.5421184138680314,8.851235797739396e-107,3.282800159456243e-07,19
1.0335377561911603,20.491291858123628,0.5405006285553018,2.401557679349423e-106,3.282800159456243e-07,20
1.0356520882327032,22.467116271548175,0.5392528955182173,1.2117620363577837e-116,3.282800159456243e-07,21
1.044685071531864,19.11247911778243,0.5389540364288251,3.68317367801649e-99,3.282800159456243e-07,22
1.0217516849705057,19.504476052876228,0.5398156275320483,3.336698209075911e-101,3.282800159456243e-07,23
1.0521467719148216,21.10703036275295,0.537253802612433,1.4844001975903165e-109,3.282800159456243e-07,24
1.0518724934939732,20.34480592035383,0.5380446429594589,1.3928663137016179e-105,3.2828001594562433e-07,25
1.0439945133187354,23.685748482205426,0.5379249325915396,5.401002863566229e-123,3.282800159456243e-07,26
1.0407447027384669,22.362088834916158,0.5381184245721646,4.273378654371819e-116,3.282800159456243e-07,27
1.037883966415188,22.218408725784403,0.5380078367644494,2.3964320488885685e-115,3.282800159456243e-07,28
1.0526383650117626,24.12353852634595,0.5412897357395667,2.8243388677782964e-125,3.282800159456243e-07,29
1.044435312550088,22.55775928094577,0.5362725081469628,4.08345934952289e-117,3.282800159456243e-07,30
1.0377494546646018,21.99151793119637,0.5417984383134133,3.647658398132618e-114,3.282800159456243e-07,31
1.0507190594037077,22.323481305261836,0.540365990865964,6.791658202274905e-116,3.282800159456243e-07,32
1.0554211350803977,22.936920535762265,0.5398509606085735,4.3153551935253973e-119,3.282800159456243e-07,33
1.0407489407250738,20.242564318730697,0.539496002222023,4.750562060660656e-105,3.282800159456243e-07,34
1.0313128225304167,22.021221772468348,0.5391657355196199,2.553945278813795e-114,3.282800159456243e-07,35
1.0345685440813177,22.155016722659177,0.5393793871160992,5.127842587106575e-115,3.2828001594562433e-07,36
1.0401325902753102,21.80213306457031,0.5414270895503059,3.539971702548717e-113,3.282800159456243e-07,37
1.0404676657838996,22.24700928967794,0.5419013709214513,1.700248162211565e-115,3.282800159456243e-07,38
1.04649898773511,19.85913616931322,0.538320774589958,4.731444498230747e-103,3.282800159456243e-07,39
1.0243341209665116,22.14660141699897,0.5389678155381343,5.672719828699237e-115,3.282800159456243e-07,40
1.0472956136973244,22.02011640633547,0.5384550273167735,2.588047486759645e-114,3.282800159456243e-07,41
1.0428637118249053,21.7485818387002,0.5376586433983516,6.731065445132207e-113,3.282800159456243e-07,42
1.040060278724251,22.519164881633824,0.5379729445858824,6.488797968509155e-117,3.282800159456243e-07,43
1.0454967076705444,21.910762255448002,0.5399691405930015,9.613357483946223e-114,3.282800159456243e-07,44
1.0567205828628743,24.159594090834858,0.539784724016179,1.832365095324024e-125,3.282800159456243e-07,45
1.0417978494856006,21.15001745474563,0.5412076890165227,8.86180769332048e-110,3.282800159456243e-07,46
1.0238649601860714,19.763680155192702,0.5394506024642348,1.4875308877264812e-102,3.282800159456243e-07,47
1.0510061267491204,19.744366082789647,0.541804206877783,1.8755210083003935e-102,3.282800159456243e-07,48
1.0545730540261973,22.321369105126998,0.5375404388160608,6.966002464860418e-116,3.282800159456243e-07,49
1.0604722025377302,22.969976416363608,0.5425519381906677,2.902316089895894e-119,3.282800159456243e-07,50
1.0678344706189506,22.887184141202628,0.540964644985941,7.838256087965853e-119,3.282800159456243e-07,51
1.0190378613501572,23.338283024214522,0.5433113523028058,3.493834912377171e-121,3.282800159456243e-07,52
1.051099133352913,19.646068133391694,0.5362406628377181,6.101056083838066e-102,3.282800159456243e-07,53
1.0350699747737084,19.902110743836246,0.5373050376078047,2.8250770889548906e-103,3.282800159456243e-07,54
1.0598433762108554,22.122066398124726,0.5403040324234117,7.614763409215059e-115,3.2828001594562433e-07,55
1.03685740805806,22.107252991861564,0.5401791220890353,9.096136764193038e-115,3.282800159456243e-07,56
1.0169899409124783,23.13826679211033,0.5401307058150971,3.852066100985832e-120,3.282800159456243e-07,57
1.0381770853985863,21.308815186202338,0.5383967683781357,1.3180824551257851e-110,3.282800159456243e-07,58
1.0417558966745128,21.99902007582642,0.5389944846577311,3.333622969510063e-114,3.282800159456243e-07,59
1.0241622596287336,19.896129189168548,0.539828488083604,3.0353122685561757e-103,3.2828001594562433e-07,60
1.0453070896317838,21.904263720057042,0.5378358488488125,1.0393035939372104e-113,3.282800159456243e-07,61
1.021934129366624,20.07267430303955,0.5390521064975295,3.648652914329816e-104,3.282800159456243e-07,62
1.0424214170757637,22.34772293936043,0.5411548227888852,5.077380682750241e-116,3.282800159456243e-07,63
1.04870220908184,20.46552926530142,0.5412970196113422,3.27156568722402e-106,3.282800159456243e-07,64
1.0414615327256889,21.550255181132187,0.5389553798650083,7.272268231733574e-112,3.282800159456243e-07,65
1.054863501111664,20.520805173545046,0.536742749191689,1.685323906703569e-106,3.282800159456243e-07,66
