delta_e_mean,eta_mean,eta_min,surrogate_id
0.5182547313371265,0.5482913914762746,1.8795143017940896e-31,1
0.514321257198528,0.5493916624905354,2.005627439257282e-32,2
0.5142493524381486,0.5490751757954719,2.371631349124415e-32,3
0.5200329140413618,0.5479317859519249,4.063964670432274e-31,4
0.5189948681376677,0.5482133099783457,2.645831855676511e-31,5
0.5121359843113461,0.5492932160390784,1.2330737723663505e-30,6
0.516038746204896,0.5490605823025371,2.0720602805940055e-31,7
0.5193042680106607,0.5483158579282003,3.768186314237095e-31,8
0.520575758726689,0.5487968289147273,6.201169359203889e-31,9
0.5199226370562288,0.5484177931498863,2.817041232542073e-33,10
0.5176684617854684,0.5491628490167239,1.1600762362531095e-30,11
0.5181980178559437,0.5482833717628374,3.0367616635237278e-30,12
0.5180772506195516,0.5487944489201625,9.522868831791496e-29,13
0.5209166900267422,0.5487072163880232,2.9473764503887615e-31,14
0.5160968716090394,0.5488222710199169,2.1709129954297694e-33,15
0.5151858529443554,0.5487588000666944,4.8504751236777324e-30,16
0.5171037534811619,0.5486252542477305,1.8706194413396014e-32,17
0.5165569023016326,0.5486616758714734,1.627186592318911e-31,18
0.5160223783856491,0.5489202495032087,7.064653663746925e-32,19
0.5167816490053783,0.548152466755554,1.8306923640855433e-33,20
0.5183072327807621,0.54865438466132,5.115360957711837e-31,21
0.5186900020020757,0.549609752738324,3.1490307759677686e-32,22
0.5197846869119773,0.5484750458915809,6.948120688100072e-31,23
0.5230432163021542,0.5479053355389509,2.1248114414363936e-32,24
0.5179163578610863,0.548360600863247,3.8184953952426937e-31,25
0.5155812550904999,0.5494274171093689,4.870766871224014e-31,26
0.5201845398117491,0.5477327939444957,7.174738632604181e-33,27
0.5186328340016887,0.5479928797718165,3.772595574242311e-32,28
0.5181318566420184,0.5485389509178414,1.1610277148848217e-30,29
0.5181612287941336,0.5486590064719096,1.3427473159749134e-31,30
0.5200345060793631,0.5479345127645417,2.007306498145238e-31,31
0.5183944819238117,0.5487628419827161,2.5132903726346946e-31,32
0.5156749248249206,0.5488374774406223,3.796788100280986e-30,33
0.5179554477316421,0.5482960393359466,1.0187249733097705e-30,34
0.5200833592663294,0.5484630030629576,1.3135573659455416e-31,35
0.5154309956574881,0.5485800837946848,1.4552569438167826e-32,36
0.5235674729984071,0.5485973209267205,1.1006163696715815e-33,37
0.5163014938460877,0.5488083029734738,1.5777307989220743e-31,38
0.518074439112648,0.549440505443145,4.930374429870324e-31,39
0.5159982260871133,0.5487703122603688,9.046595266810201e-33,40
0.5184527202309993,0.5488537445750801,9.841343444413104e-30,41
0.5200824593296949,0.5492112118165937,1.1149193729970711e-30,42
0.5210905186703269,0.5482052647881172,1.1469879449007589e-31,43
0.5181091596913372,0.5490687547595,7.014839385052352e-32,44
