domain,samples,deltaE_mean,eta_mean,hazard_mean,min_survival
GOES Solar X-ray,10078,1.7676660730013285,0.5363511236682422,0.4387985591544937,0.2006095728019758
Planetary K-index,358,0.1426825363838374,0.9159489019059452,0.13094046513124882,0.30422320859406
