time_tag,kp,delta_e,eta,eta_std_60,ar1_60,hazard_signal,lambda_rate,survival,corridor_armed
2026-03-09 09:08:00+00:00,0,0.0,0.9368848768066524,,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:09:00+00:00,0,0.0,0.9368848768066524,,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:10:00+00:00,0,0.0,0.9368848768066524,,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:11:00+00:00,0,0.0,0.9368848768066524,,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:12:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:13:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:14:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:15:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:16:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:17:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:18:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:19:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:20:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:21:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:22:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:23:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:24:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:25:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:26:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:27:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:28:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:29:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:30:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:31:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:32:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:33:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:34:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:35:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:36:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:37:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:38:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:39:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:40:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:41:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:42:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:43:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:44:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:45:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:46:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:47:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:48:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:49:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:50:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:51:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:52:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:53:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:54:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:55:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:56:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:57:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:58:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 09:59:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 10:00:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 10:01:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
2026-03-09 10:02:00+00:00,0,0.0,0.9368848768066524,0.0,,0.03155756159667378,0.0,1.0,0
