delta_e_mean,eta_mean,eta_min,surrogate_id
0.2731827094995742,0.7589291802687074,4.7444511896280683e-07,1
0.11492719644712934,0.7780170283745824,0.004512913877453418,2
0.14130393005794595,0.741555554963943,0.004512913877453418,3
0.13188366805408286,0.7545775097534572,0.004512913877453418,4
0.14130393005794592,0.7415555549639432,0.004512913877453418,5
0.11492719644712934,0.7780170283745824,0.004512913877453418,6
0.12811556325253762,0.7597862916692626,0.004512913877453418,7
0.11681124884790199,0.7754126374166794,0.004512913877453418,8
0.2719625334258839,0.7615461612270048,3.9654525185597684e-07,9
0.10927503924481151,0.7858302012482907,0.004512913877453418,10
0.22666781228906482,0.7929500960225032,3.037025525912452e-07,11
0.2370211482465201,0.7850991158799583,3.5246602271722086e-07,12
0.13188366805408286,0.7545775097534572,0.004512913877453418,13
0.24061798112387697,0.7824821221106814,3.652616072970724e-07,14
0.10739098684403889,0.7884345922061934,0.004512913877453418,15
0.11304314404635675,0.7806214193324851,0.004512913877453418,16
0.21422521150642243,0.8034180675937028,2.160569266422474e-07,17
0.10739098684403889,0.7884345922061935,0.004512913877453418,18
0.11681124884790199,0.7754126374166794,0.004512913877453418,19
0.10739098684403889,0.7884345922061934,0.004512913877453418,20
0.232101547694324,0.7903330954578511,2.7461252875969105e-07,21
0.13188366805408286,0.7545775097534572,0.004512913877453418,22
0.11115909164558413,0.7832258102903878,0.004512913877453418,23
0.126231510851765,0.7623906826271655,0.004512913877453418,24
0.12434745845099243,0.7649950735850682,0.004512913877453418,25
0.12434745845099243,0.7649950735850682,0.004512913877453418,26
0.12246340605021981,0.7675994645429711,0.004512913877453418,27
0.13188366805408286,0.7545775097534572,0.004512913877453418,28
0.13188366805408286,0.7545775097534572,0.004512913877453418,29
0.24268726132368043,0.7877160825472371,1.6900190252284205e-07,30
0.10173882964172108,0.7962477650799018,0.004512913877453418,31
0.11869530124867457,0.7728082464587768,0.004512913877453418,32
0.10739098684403889,0.7884345922061934,0.004512913877453418,33
0.22754292104063337,0.7929500929397888,2.836368855338232e-07,34
0.28658455148658746,0.7536951631601209,3.4130010529092594e-07,35
0.12999961565331025,0.7571819007113598,0.004512913877453418,36
0.24207789457521517,0.7824821160400534,3.2842627099375034e-07,37
0.12057935364944719,0.7702038555008739,0.004512913877453418,38
0.1337677204548555,0.7519731187955543,0.004512913877453418,39
0.11681124884790196,0.7754126374166795,0.004512913877453418,40
0.12246340605021981,0.7675994645429711,0.004512913877453418,41
0.12434745845099243,0.7649950735850682,0.004512913877453418,42
0.12811556325253762,0.7597862916692628,0.004512913877453418,43
0.2398666154340965,0.787716088921084,2.090341340422234e-07,44
0.11492719644712937,0.7780170283745824,0.004512913877453418,45
0.10362288204249367,0.793643374121999,0.004512913877453418,46
0.10927503924481151,0.7858302012482907,0.004512913877453418,47
0.13188366805408286,0.7545775097534572,0.004512913877453418,48
0.12811556325253765,0.7597862916692626,0.004512913877453418,49
0.12057935364944719,0.7702038555008739,0.004512913877453418,50
0.09420262003863061,0.8066653289115131,0.004512913877453418,51
0.21584941007764308,0.8008010787782159,2.673031846124488e-07,52
0.24421741771891742,0.7798651284035663,3.780015704612255e-07,53
0.25557230997946534,0.7720141449816995,4.007219990268561e-07,54
0.26590431217516264,0.76416316714127,4.51652001276529e-07,55
0.14695608726026377,0.7337423820902348,0.004512913877453418,56
0.11681124884790196,0.7754126374166795,0.004512913877453418,57
0.12434745845099243,0.7649950735850682,0.004512913877453418,58
0.12434745845099243,0.7649950735850682,0.004512913877453418,59
0.26341059376040526,0.7667801548302674,4.0807517775950185e-07,60
0.12246340605021981,0.7675994645429711,0.004512913877453418,61
0.12057935364944719,0.7702038555008739,0.004512913877453418,62
0.11492719644712937,0.7780170283745822,0.004512913877453418,63
0.2544052835241021,0.7772481100517257,2.456875743230496e-07,64
0.24521067197504742,0.7798651240546224,3.5205287292100737e-07,65
0.13376772045485547,0.7519731187955545,0.004512913877453418,66
0.23576072204814807,0.7877161009918472,2.8484699746202394e-07,67
0.11869530124867457,0.7728082464587768,0.004512913877453418,68
0.09797072484017584,0.8014565469957073,0.004512913877453418,69
0.2279901697280196,0.7929500914437972,2.738993407544587e-07,70
0.11492719644712934,0.7780170283745824,0.004512913877453418,71
0.12999961565331025,0.7571819007113602,0.004512913877453418,72
0.14130393005794592,0.7415555549639432,0.004512913877453418,73
0.1375358252564007,0.7467643368797489,0.004512913877453418,74
0.11492719644712937,0.7780170283745822,0.004512913877453418,75
0.1055069344432663,0.7910389831640962,0.004512913877453418,76
0.24257867051091192,0.7824821141019871,3.1666647946827457e-07,77
0.11115909164558413,0.7832258102903881,0.004512913877453418,78
0.1243474584509924,0.7649950735850682,0.004512913877453418,79
0.1356517728556281,0.7493687278376515,0.004512913877453418,80
0.2441249268663044,0.7824821085449176,2.829473136978115e-07,81
0.24521067197504742,0.7798651240546224,3.5205287292100737e-07,82
0.12246340605021981,0.7675994645429711,0.004512913877453418,83
0.0904345152370854,0.8118741108273184,0.004512913877453418,84
0.22984603572764445,0.7929500857654589,2.369385204888289e-07,85
0.10362288204249369,0.793643374121999,0.004512913877453418,86
0.26887758446539467,0.7641631524901064,3.7218053948739116e-07,87
0.11869530124867457,0.7728082464587768,0.004512913877453418,88
0.12246340605021981,0.7675994645429711,0.004512913877453418,89
0.12434745845099243,0.7649950735850682,0.004512913877453418,90
0.12999961565331025,0.7571819007113599,0.004512913877453418,91
0.1055069344432663,0.7910389831640962,0.004512913877453418,92
0.11681124884790196,0.7754126374166795,0.004512913877453418,93
0.2483267949961784,0.7772481324197927,3.769624583620557e-07,94
0.11492719644712937,0.7780170283745822,0.004512913877453418,95
0.11869530124867457,0.7728082464587768,0.004512913877453418,96
0.1055069344432663,0.7910389831640962,0.004512913877453418,97
0.12811556325253765,0.7597862916692626,0.004512913877453418,98
0.12057935364944719,0.7702038555008739,0.004512913877453418,99
0.09985477724094846,0.7988521560378047,0.004512913877453418,100
0.12811556325253762,0.7597862916692628,0.004512913877453418,101
0.21772615902478495,0.8034180597328416,1.6087676442151897e-07,102
0.11492719644712934,0.7780170283745822,0.004512913877453418,103
0.11492719644712937,0.7780170283745822,0.004512913877453418,104
0.11115909164558413,0.7832258102903878,0.004512913877453418,105
0.12434745845099243,0.7649950735850682,0.004512913877453418,106
0.11681124884790196,0.7754126374166794,0.004512913877453418,107
0.2546636143726772,0.774631127124444,3.221900295391824e-07,108
0.13376772045485547,0.7519731187955545,0.004512913877453418,109
0.10739098684403892,0.7884345922061935,0.004512913877453418,110
0.24859133748766285,0.7824820955988471,2.0439318850842625e-07,111
0.10739098684403889,0.7884345922061934,0.004512913877453418,112
0.23576072204814807,0.7877161009918472,2.8484699746202394e-07,113
0.10173882964172105,0.7962477650799018,0.004512913877453418,114
0.126231510851765,0.7623906826271655,0.004512913877453418,115
0.12057935364944719,0.7702038555008739,0.004512913877453418,116
0.2333674087485623,0.7929500770121879,1.7996268283673985e-07,117
0.12434745845099243,0.7649950735850682,0.004512913877453418,118
0.23032722476831985,0.7929500844227045,2.2819841014816207e-07,119
0.13565177285562807,0.7493687278376515,0.004512913877453418,120
0.12434745845099243,0.7649950735850682,0.004512913877453418,121
0.11681124884790196,0.7754126374166794,0.004512913877453418,122
0.22666781228906485,0.7929500960225032,3.037025525912452e-07,123
0.12434745845099243,0.7649950735850682,0.004512913877453418,124
0.12623151085176504,0.7623906826271655,0.004512913877453418,125
0.11492719644712937,0.7780170283745824,0.004512913877453418,126
0.10739098684403892,0.7884345922061935,0.004512913877453418,127
0.12999961565331025,0.7571819007113598,0.004512913877453418,128
0.23362249769580393,0.7746313110979673,1.3844887612386492e-06,129
0.12434745845099243,0.7649950735850682,0.004512913877453418,130
0.12999961565331025,0.7571819007113599,0.004512913877453418,131
0.28113356681670626,0.7536951896731268,4.768951927885312e-07,132
0.11681124884790196,0.7754126374166794,0.004512913877453418,133
0.1356517728556281,0.7493687278376513,0.004512913877453418,134
0.12811556325253765,0.7597862916692626,0.004512913877453418,135
0.25142666206899783,0.7746311411539779,4.03199272972261e-07,136
0.10550693444326631,0.7910389831640962,0.004512913877453418,137
0.12999961565331025,0.7571819007113602,0.004512913877453418,138
0.12434745845099243,0.7649950735850682,0.004512913877453418,139
0.12434745845099243,0.7649950735850682,0.004512913877453418,140
0.11869530124867458,0.7728082464587765,0.004512913877453418,141
0.12434745845099243,0.7649950735850682,0.004512913877453418,142
0.11492719644712934,0.7780170283745824,0.004512913877453418,143
0.11492719644712937,0.7780170283745822,0.004512913877453418,144
0.10739098684403889,0.7884345922061934,0.004512913877453418,145
0.15072419206180898,0.7285336001744293,0.004512913877453418,146
0.12434745845099243,0.7649950735850682,0.004512913877453418,147
0.126231510851765,0.7623906826271655,0.004512913877453418,148
0.24571804673358044,0.7798651219496171,3.394930078421185e-07,149
0.1375358252564007,0.7467643368797486,0.004512913877453418,150
0.126231510851765,0.7623906826271655,0.004512913877453418,151
0.2695396957205139,0.761546173699943,4.63191698195358e-07,152
0.11492719644712934,0.7780170283745822,0.004512913877453418,153
0.10362288204249367,0.793643374121999,0.004512913877453418,154
0.21478197368807783,0.7877162760744743,1.3844887612386492e-06,155
0.23992355615789882,0.7850991048338105,2.8428462722618067e-07,156
0.11681124884790196,0.7754126374166792,0.004512913877453418,157
0.25503773796756163,0.7720141475997024,4.1559890430214823e-07,158
0.11492719644712934,0.7780170283745821,0.004512913877453418,159
0.11304314404635675,0.7806214193324849,0.004512913877453418,160
0.10927503924481151,0.7858302012482907,0.004512913877453418,161
0.12434745845099243,0.7649950735850682,0.004512913877453418,162
0.12057935364944719,0.7702038555008739,0.004512913877453418,163
0.11304314404635675,0.7806214193324851,0.004512913877453418,164
0.24465536722165984,0.7824821067782156,2.722273247674917e-07,165
0.09420262003863061,0.8066653289115131,0.004512913877453418,166
0.12057935364944719,0.7702038555008739,0.004512913877453418,167
0.2670130779572463,0.7667801391321806,3.216149456801279e-07,168
0.13188366805408286,0.7545775097534569,0.004512913877453418,169
0.1055069344432663,0.7910389831640962,0.004512913877453418,170
0.12434745845099243,0.7649950735850682,0.004512913877453418,171
