t_s,qsd_phase_rad,pid_phase_rad,open_phase_rad
0.0,0.049736634593410045,0.03508225174117863,0.05430689124021493
5e-05,0.022877039446582703,0.025618759754954645,0.029458924051481095
0.0001,0.21048809221444653,0.1572881412446998,0.24177536809117672
0.00015000000000000001,0.2305738840843179,0.21583667118557637,0.28968745882395197
0.0002,0.07468778505068796,0.11516358142449512,0.1409459892364855
0.00025,0.1810312991710763,0.17973812862237626,0.26766291564951006
0.00030000000000000003,0.4893557812018621,0.4695265757185618,0.683696300920988
0.00035,0.6757426578479717,0.7098073167659238,0.9901562374362882
0.0004,0.41343794379539656,0.6007128743440409,0.7898188820669421
0.00045000000000000004,0.03730494539226559,0.3255630554064841,0.41704496889578335
0.0005,-0.12534968016614956,0.17663147679925117,0.24140891099509254
0.00055,-0.08832084036459253,0.18492152522398664,0.269803867782465
0.0006000000000000001,-0.6679858052225311,-0.2597358666273677,-0.42826799549521555
0.0006500000000000001,-0.5843261987879029,-0.38063556333491766,-0.47972863818073463
0.0007,-0.8054181932908273,-0.591751959034275,-0.8465128593268765
0.00075,-0.8597055745465259,-0.7789451319216534,-1.0556095184865377
0.0008,-0.8567437601823249,-0.8812860584878806,-1.2069879811778912
0.0008500000000000001,-0.7944226865972333,-0.9475055811086803,-1.2883835372320043
0.0009000000000000001,-0.5583355206003131,-0.8572449635136161,-1.1463058174606586
0.00095,-0.19951978929424818,-0.6187806557592928,-0.8105483218901166
0.001,-0.19119295083403376,-0.5975966595153674,-0.8343002446684267
0.0010500000000000002,0.21813840127311757,-0.3297884863966942,-0.39909071194645485
0.0011,0.027222012221286285,-0.39165339624412887,-0.5875961912872842
0.00115,0.13646816921192562,-0.3545519089286775,-0.4639753351678366
0.0012000000000000001,0.3754272346091998,-0.1335277246306057,-0.17090382188461906
0.00125,0.36748264916266615,-0.07898511811144271,-0.12633427006443387
0.0013000000000000002,0.1400992196801787,-0.21946370598987563,-0.33887909855706067
0.00135,-0.1103059107445854,-0.41645892768475523,-0.6061389937642918
0.0014,-0.21042332057715374,-0.5200148969102956,-0.7309519491930168
0.0014500000000000001,-0.11535235915362918,-0.4715581836763789,-0.6476445206831247
0.0015,-0.35880779593709367,-0.6475550573700382,-0.9418873330282582
0.0015500000000000002,-0.35690505528098315,-0.7176874211757553,-0.9903958554851946
0.0016,-0.3424860969677539,-0.7286786007192347,-1.0235696537828045
0.00165,-0.1452370931894409,-0.6161195750088644,-0.8418231710096791
0.0017000000000000001,-0.05566153805505447,-0.5367207915943744,-0.7602152837922014
