t_s,qsd_err_urad,pid_err_urad,open_err_urad,qsd_iss_bound_urad,qsd_snr_db,pid_snr_db,qsd_ber
0.0,48.69524016261862,36.94211182371519,54.79254174101029,386.5093096345571,-201.74656852455644,-86.82089981418144,0.499999999976929
0.002,47.04785719207142,37.401728761608254,60.205071912259605,382.6070319210215,-183.73702605925487,-90.72246097759805,0.499999999816539
0.004,35.7625910189712,30.848669512610552,53.6541076897772,379.00930963455704,-77.0291273428987,-39.67256086148194,0.49996028645094365
0.006,43.73360372866211,36.699175020857595,66.74022900545386,375.6923735780518,-149.38253494381811,-84.77817064228255,0.4999999904221436
0.008,30.27467058151428,26.700903586814206,57.59386719686938,372.63430963455704,-35.6771630588853,-12.801596136721717,0.4953599023234133
0.01,20.728313472783913,19.858097400902647,50.32991462604825,369.81491398652764,12.932734816196827,15.282437235835726,0.0008617219865964293
0.012,5.713498172241399,4.2079656142326325,26.86646127542082,367.21555963455705,36.55635772021462,37.41017590243599,0.0
0.014,18.23883767242361,11.461764810241416,19.60297325340645,364.81907333373204,19.142904396032623,30.9043569260553,7.43814673337974e-11
0.016,21.574374403059025,14.608291250897134,19.137741279013316,362.60962213455707,10.399186121063764,26.180093932231134,0.009610129608073071
0.018000000000000002,10.92744508397246,6.360944643371288,14.756625647263602,360.5726087788558,31.590436161960213,36.109411891275045,3.8009533795544926e-159
0.02,17.444082110061743,11.616714210561552,17.716710353105395,358.69457525955704,20.850526342289157,30.69917506952948,3.1322594718857044e-15
0.022,21.69011725418613,15.070310051197959,16.812248411328298,356.963113907211,10.030057899800228,25.38503970129512,0.012422012074756902
0.024,15.306033815035562,11.398525707807739,23.247488574202453,355.36678541580704,24.968949181951416,30.987292178521955,2.575510137147414e-36
0.026000000000000002,10.458550408979258,6.7783035295426926,11.202283610871067,353.8950432663129,32.1651820035615,35.79585246911617,2.477952189867767e-181
0.028,13.394821955064138,9.051749179786052,9.327491190085613,352.53816404861954,28.142476182599914,33.737007747636724,3.572521947432725e-73
0.03,19.767480142952788,13.924950062046118,5.00876703349028,351.2871832215495,15.514553772365913,27.30728069547972,1.2267740551176006e-05
0.032,19.5276081711633,14.330156072411365,10.641647939096048,350.13383588651016,16.118766433015907,26.645832251133392,3.0489518205314743e-06
0.034,16.601044174233365,12.176090237018173,13.78788512318838,349.07050218350065,22.551811118528626,29.935080891919487,1.2022529538448762e-21
0.036000000000000004,18.476816991948493,13.534968980805669,12.958206954685135,348.0901569487172,18.60991331732619,27.924981109109567,8.438368975972189e-10
0.038,22.54397492041143,16.89912772432707,28.56792954147608,347.1863233011591,7.1124375488899965,21.9624235936138,0.05439671452859565
0.04,36.06887356296651,28.813320805074493,45.21186354967239,346.3530298515932,-79.54116903472031,-25.878187538981603,0.49997026029776764
0.042,34.66563525636726,28.480715256254637,52.08092811601032,345.5847712511688,-68.20818429939928,-23.727417679689843,0.49989035575344476
0.044,26.01242510457736,22.33229260534369,47.12666010925007,344.87647181903776,-8.886814263875973,7.869474675249104,0.3996775918258729
0.046,44.064661626240564,36.12074307359009,71.18269127359925,344.22345200867704,-152.70140707328414,-79.9687107225482,0.4999999934638093
0.048,55.063014443970275,45.224265589438666,89.96506469902872,343.62139749136566,-277.1881792765978,-164.5238691408829,0.4999999999999961
0.05,38.132529780804255,33.33697491339643,77.22593733321943,343.06633065255903,-97.02538291318538,-57.89305798394906,0.4999960269326939
0.052000000000000005,36.51497916872495,32.843251189507285,80.83028320816595,342.5545843128444,-83.23835057392166,-54.163367389826305,0.49998056978800104
0.054,26.60041087039837,25.728641485909964,75.78731968802138,342.0827774998587,-12.217974029280667,-7.333716349162792,0.4312410909856195
0.056,29.24234780560104,27.821256662433456,82.2011275543819,341.64779311110124,-28.697395867166744,-19.55852569798751,0.4896372164519783
0.058,14.846182879085907,16.23927949030772,67.80432200503347,341.2467573200635,25.77408593591656,23.25004826054969,2.675998161486625e-43
0.06,5.062661731129342,4.558651046690692,51.4351281402938,340.87702058961963,36.95728250900205,37.234460882451664,0.0
0.062,13.998804355749572,10.112718844664814,54.182390378631716,340.53614016723753,27.188220840365595,32.57276494965409,3.668253950799e-59
