scenario,controller,mean_err_urad,rms_err_urad,availability,mean_ber,mean_snr_db,iss_coverage,iss_bound_urad,acquisition_samples
isl,open,15.450051398942461,17.835493921351066,0.818,0.07549575517937392,15.721830510290873,1.0,100.80953986934594,180
isl,pid,5.792775172792139,6.676681660898787,0.9975,0.0010461008143389937,35.819436672005416,1.0,100.80953986934594,25
isl,qsd,7.631654674404808,8.728688220028713,0.996,0.0016968035698660515,33.924711466132685,1.0,100.80953986934594,84
isl,qsd_wrong,40.28796582311446,40.79772727042258,0.008,0.49317882361916554,-121.13242538963665,1.0,100.80953986934594,2000
downlink,open,15.450051398942461,17.835493921351066,0.94,0.025653141739045388,44.54516849441512,1.0,100.80953986934594,180
downlink,pid,5.792775172792139,6.676681660898787,0.999,0.00035736169195642824,61.75532315097334,1.0,100.80953986934594,25
downlink,qsd,7.631654674404808,8.728688220028713,0.998,0.0009130215931171178,59.898748498005475,1.0,100.80953986934594,84
downlink,qsd_wrong,40.28796582311446,40.79772727042258,0.0755,0.4397771870049191,-70.39622139875672,1.0,100.80953986934594,2000
stress,open,49.560715266786936,56.47574402629712,0.17,0.40464845491602164,-298.03472932975563,1.0,336.50930963455704,2000
stress,pid,19.020562957654793,21.618103215977783,0.6875,0.1319576450096214,2.5587117206081786,1.0,336.50930963455704,2000
stress,qsd,22.868784175130983,25.660504717210223,0.5525,0.19800967346872603,-15.920933100226467,1.0,336.50930963455704,2000
stress,qsd_wrong,46.09966565464623,49.79407613838013,0.1195,0.4302020686122113,-215.89041152556368,1.0,336.50930963455704,2000
