t_s,qsd_err_urad,pid_err_urad,open_err_urad,qsd_iss_bound_urad,qsd_snr_db,pid_snr_db,qsd_ber
0.0,45.780725118166345,34.6309469775479,51.38262503998834,150.80953986934594,-118.21057312945855,-16.11275571982675,0.499999653369789
0.002,41.01965133671914,32.450710876058714,52.57143490930096,146.90726215581037,-71.0529896914959,-0.7690557254176882,0.4999209784433584
0.004,34.24368043471258,29.068155992421847,50.175107676869466,143.30953986934594,-13.358620185276102,15.539667988804995,0.43963342566974173
0.006,33.51213616183838,28.176878963125038,53.476331027472746,139.9926038128407,-7.787343358327953,18.86948353941701,0.38648912875134644
0.008,27.1093746370552,23.320790879584326,50.435430445557095,136.93453986934594,22.53146662222886,33.568321701953096,1.4869915430471262e-21
0.01,22.079667147007672,19.744366528724644,47.82087479895803,134.1151442213165,36.5412036694486,42.121647095311346,0.0
0.012,12.716612942743843,12.734109086831602,40.22890568294657,131.51578986934595,55.060148651359256,55.03472596945776,0.0
0.014,8.45026008840113,8.742256431039468,36.321856324142615,129.1193035685209,60.237187490939775,59.95057831605736,0.0
0.016,6.678951039833182,6.758038843762043,34.59530613865046,126.90985236934593,62.026849417760104,61.966178045902595,0.0
0.018000000000000002,5.793904647192552,6.200152049683491,35.30697167555983,124.87283901364466,62.6142507663748,62.33606889203869,0.0
0.02,6.217975675098265,5.829523913237256,34.83962886752843,122.99480549434594,62.27150475314107,62.53868612436242,0.0
0.022,5.243500067535877,4.890396606801345,32.76801349665805,121.26334414199985,63.15827809714964,63.3625696139013,0.0
0.024,6.301385872257784,5.715565555382887,35.31605584373921,119.66701565059594,62.25632269514411,62.658234605156025,0.0
0.026000000000000002,1.9848150146866976,2.8088020846313,32.54245193435765,118.19527350110177,64.36721431409947,64.14170973288033,0.0
0.028,1.530953092363599,2.1090694003276744,31.02901492258684,116.83839428340843,64.23745968480021,64.11731876931432,0.0
0.03,2.7152871261241738,0.9053985502520496,27.83209242255884,115.5874134563384,63.93912713330988,64.31325006094158,0.0
0.032,3.7035065500515376,2.192641871836645,27.469538842192872,114.43406612129907,63.699979529387825,64.20856702546656,0.0
0.034,3.7424582828347694,2.318973081750706,28.226215043467374,113.37073241828952,63.49912783498374,63.99173406925273,0.0
