controller,rms_rad,cycle_slips,mean_bpsk_ber,one_step_iss,feedforward
open,1.7162342791390908,93,0.036720152461629386,0.9453151050350117,True
pid,1.309186702676769,17,0.044821242392906906,0.9893297765921975,True
qsd,0.90562476107446,8,0.01479855444132123,0.9779926642214072,True
qsd_wrong,1.8477462898135015,62,0.06712701119906787,0.9553184394798266,True
