t_s,qsd_err_urad,pid_err_urad,open_err_urad,qsd_iss_bound_urad,qsd_snr_db,pid_snr_db,qsd_ber
0.0,45.780725118166345,34.6309469775479,51.38262503998834,150.80953986934594,-170.3061532572881,-67.93373605863994,0.499999999138833
0.002,41.01965133671914,32.450710876058714,52.57143490930096,146.90726215581037,-123.11863429459427,-51.23818409359578,0.49999980300130314
0.004,34.24368043471258,29.068155992421847,50.175107676869466,143.30953986934594,-64.88845350567854,-27.546776024422307,0.4998393160937462
0.006,33.51213616183838,28.176878963125038,53.476331027472746,139.9926038128407,-59.22974693232134,-21.790428028423815,0.4996917467400782
0.008,27.1093746370552,23.320790879584326,50.435430445557095,136.93453986934594,-15.213658715545439,4.125125136928063,0.4511770856322108
0.01,22.079667147007672,19.744366528724644,47.82087479895803,134.1151442213165,8.743066150657985,15.57341386546751,0.026506811490804832
0.012,12.716612942743843,12.734109086831602,40.22890568294657,131.51578986934595,29.161785199426518,29.136177450948352,5.9681655635191476e-92
0.014,8.45026008840113,8.742256431039468,36.321856324142615,129.1193035685209,34.33946237256283,34.052193775790926,1.3708661916358754e-297
0.016,6.678951039833182,6.758038843762043,34.59530613865046,126.90985236934593,35.8723052348478,35.81153817186144,0.0
0.018000000000000002,5.793904647192552,6.200152049683491,35.30697167555983,124.87283901364466,36.50346146842792,36.224890363779295,0.0
0.02,6.217975675098265,5.829523913237256,34.83962886752843,122.99480549434594,36.21223565617291,36.47979241202941,0.0
0.022,5.243500067535877,4.890396606801345,32.76801349665805,121.26334414199985,36.850746647968705,37.05528786113587,0.0
0.024,6.301385872257784,5.715565555382887,35.31605584373921,119.66701565059594,36.152531230421076,36.5550069398892,0.0
0.026000000000000002,1.9848150146866976,2.8088020846313,32.54245193435765,118.19527350110177,38.19697377102707,37.971256655916996,0.0
0.028,1.530953092363599,2.1090694003276744,31.02901492258684,116.83839428340843,38.288155962757095,38.167905523284176,0.0
0.03,2.7152871261241738,0.9053985502520496,27.83209242255884,115.5874134563384,38.00077770744068,38.375244940687615,0.0
0.032,3.7035065500515376,2.192641871836645,27.469538842192872,114.43406612129907,37.638273267530835,38.1473618384484,0.0
