time_tag,short_flux,long_flux
2026-03-02 14:56:00+00:00,3.7674066533099904e-08,1.52406551023887e-06
2026-03-02 14:57:00+00:00,3.682029969809264e-08,1.5323187199101085e-06
2026-03-02 14:58:00+00:00,3.866225384285826e-08,1.5400283928101999e-06
2026-03-02 14:59:00+00:00,3.874863097053094e-08,1.5513962807744974e-06
2026-03-02 15:00:00+00:00,4.1770597647428076e-08,1.573613644723082e-06
2026-03-02 15:01:00+00:00,4.1482799417735805e-08,1.5821211718503037e-06
2026-03-02 15:02:00+00:00,4.33149374146069e-08,1.5848956991248997e-06
2026-03-02 15:03:00+00:00,4.18268513158182e-08,1.5869242133703665e-06
2026-03-02 15:04:00+00:00,4.035426925952379e-08,1.5874704786256189e-06
2026-03-02 15:05:00+00:00,3.917697810607024e-08,1.5882257002886035e-06
2026-03-02 15:06:00+00:00,3.607166476626844e-08,1.5868106402194826e-06
2026-03-02 15:07:00+00:00,3.583694052622377e-08,1.5799544144101674e-06
2026-03-02 15:08:00+00:00,3.5571130041489596e-08,1.5670871107431594e-06
2026-03-02 15:09:00+00:00,3.4017713090861434e-08,1.5612040442647412e-06
2026-03-02 15:10:00+00:00,3.382924163020107e-08,1.5504468819926842e-06
2026-03-02 15:11:00+00:00,3.57227101233093e-08,1.5395553418784402e-06
2026-03-02 15:12:00+00:00,3.639650003606221e-08,1.5287996575352736e-06
2026-03-02 15:13:00+00:00,3.469569875846901e-08,1.5207095884761657e-06
2026-03-02 15:14:00+00:00,3.3256402076631275e-08,1.5102399402167066e-06
2026-03-02 15:15:00+00:00,3.162305262094378e-08,1.4990101817602408e-06
2026-03-02 15:16:00+00:00,3.178384844204629e-08,1.4915543715687818e-06
2026-03-02 15:17:00+00:00,3.18407415988986e-08,1.4845294344922877e-06
2026-03-02 15:18:00+00:00,3.18364179463515e-08,1.4821299600953353e-06
2026-03-02 15:19:00+00:00,3.266905679311094e-08,1.473748056923796e-06
2026-03-02 15:20:00+00:00,3.1947958945011123e-08,1.464670958739589e-06
2026-03-02 15:21:00+00:00,3.5292689659627285e-08,1.4602229612137307e-06
2026-03-02 15:22:00+00:00,3.241724400027124e-08,1.4531826764141442e-06
2026-03-02 15:23:00+00:00,3.0849200527427456e-08,1.4427238284042687e-06
2026-03-02 15:24:00+00:00,3.0688578789295207e-08,1.4344331020765821e-06
2026-03-02 15:25:00+00:00,2.9651028299326754e-08,1.4272253565650317e-06
2026-03-02 15:26:00+00:00,2.8136071250628447e-08,1.4234037735150196e-06
2026-03-02 15:27:00+00:00,2.7582782280433094e-08,1.416492523276247e-06
2026-03-02 15:28:00+00:00,2.8777790817002824e-08,1.4130455383565277e-06
